invoice_no,wholesaler_id,age,gender,Product,quantity,price,payment_method,invoice_date,shopping_mall
I207465,C296745,27,Female,Evaporated milk,2,600.16,Cash,10/10/2022,Istinye Park
I191148,C221838,43,Female,chocolate milk,2,2100,Credit Card,29/03/2022,Forum Istanbul
I159487,C104985,36,Male,Pasteurized milk 3.0% mg,1,300.08,Cash,09/07/2021,Emaar Square Mall
I215141,C826514,19,Female,Pasteurized milk 2.5% mg,1,11.73,Cash,25/01/2022,Kanyon
I235828,C267333,21,Male,Skimmed pasteurized milk,5,75.75,Cash,14/12/2021,Metrocity
I281274,C130479,20,Male,Sterilized whole milk,1,300.08,Cash,04/09/2022,Kanyon
I135898,C310108,23,Female,Sterilized semi-skimmed milk,2,71.68,Debit Card,14/08/2022,Metropol AVM
I943072,C358486,52,Female,Sterilized skimmed milk,2,81.32,Cash,03/02/2022,Metrocity
I142738,C208738,24,Male,Flavored sterilized milk,4,1200.32,Credit Card,03/01/2021,Kanyon
I304665,C111056,20,Female,Powdered milk 28% mg,5,26.15,Credit Card,05/12/2021,Metropol AVM
I133240,C999586,58,Male,Powdered milk 26% mg,3,107.52,Credit Card,14/06/2022,Zorlu Center
I215906,C296862,21,Male,Powdered milk 18% mg,4,1200.32,Debit Card,13/08/2021,Mall of Istanbul
I247747,C101550,35,Male,Powdered milk 20% mg,2,1200.34,Cash,11/01/2022,Istinye Park
I227154,C278142,29,Female,Powdered milk 12% mg,3,121.98,Cash,22/12/2021,Kanyon
I133197,C330779,68,Male,Skimmed powdered milk,2,81.32,Credit Card,04/02/2021,Forum Istanbul
I542618,C282968,50,Female,Total powdered milk,3,121.98,Debit Card,22/02/2022,Emaar Square Mall
I522612,C852668,44,Female,Yogurt,3,107.52,Cash,14/09/2021,Kanyon
I336817,C274936,47,Female,Cultured milk,1,300.08,Cash,03/08/2021,Cevahir AVM
I216982,C269751,48,Female,Small cheese,4,46.92,Cash,02/01/2023,Metrocity
I317443,C136051,39,Female,Cheese,1,35.84,Credit Card,23/11/2022,Mall of Istanbul
I115679,C266462,27,Male,Cream,1,300.08,Cash,10/01/2023,Kanyon
I227707,C329163,34,Female,Butter,4,2400.68,Cash,10/01/2022,Viaport Outlet
I238456,C305398,65,Female,Powdered whey,1,5.23,Cash,06/08/2022,Kanyon
I940840,C267961,53,Female,Condensed milk,2,81.32,Cash,19/02/2023,Istinye Park
I298805,C101248,19,Female,Sweetened condensed milk,3,15.69,Credit Card,29/06/2021,Kanyon
I169894,C165812,19,Female,Modified milk,2,600.16,Cash,01/07/2021,Istinye Park
I183571,C339518,31,Female,Evaporated milk,1,5.23,Credit Card,07/02/2022,Metrocity
I921232,C235057,43,Female,chocolate milk,2,71.68,Cash,10/10/2021,Cevahir AVM
I130799,C103944,42,Male,Pasteurized milk 3.0% mg,3,900.24,Credit Card,30/06/2021,Metrocity
I199384,C260889,58,Male,Pasteurized milk 2.5% mg,4,60.6,Credit Card,24/03/2022,Kanyon
I300557,C207753,34,Female,Skimmed pasteurized milk,3,121.98,Debit Card,17/09/2022,Istinye Park
I162186,C204154,32,Female,Sterilized whole milk,2,81.32,Debit Card,31/07/2021,Istinye Park
I299125,C290344,27,Male,Sterilized semi-skimmed milk,4,46.92,Credit Card,21/11/2022,Kanyon
I720017,C730395,28,Female,Sterilized skimmed milk,2,10.46,Credit Card,04/09/2022,Kanyon
I293086,C312155,55,Male,Flavored sterilized milk,3,121.98,Credit Card,18/02/2021,Kanyon
I995407,C259743,48,Female,Powdered milk 28% mg,3,35.19,Cash,21/03/2021,Metropol AVM
I306845,C605200,46,Female,Powdered milk 26% mg,4,20.92,Credit Card,02/09/2022,Mall of Istanbul
I274190,C317850,20,Female,Powdered milk 18% mg,3,107.52,Cash,16/06/2021,Metropol AVM
I305432,C986860,39,Male,Powdered milk 20% mg,3,107.52,Credit Card,26/01/2023,Mall of Istanbul
I224122,C236428,44,Male,Powdered milk 12% mg,5,1500.4,Credit Card,01/07/2022,Mall of Istanbul
I119142,C278588,35,Female,Skimmed powdered milk,5,203.3,Debit Card,25/01/2023,Cevahir AVM
I117526,C154184,48,Male,Total powdered milk,5,203.3,Credit Card,23/09/2022,Emaar Square Mall
I195735,C287459,22,Female,Yogurt,1,300.08,Credit Card,08/09/2021,Kanyon
I243930,C617884,52,Female,Cultured milk,3,3150,Debit Card,31/10/2022,Istinye Park
I320007,C294024,45,Male,Small cheese,5,1500.4,Debit Card,18/10/2021,Metrocity
I339004,C790567,64,Male,Cheese,4,1200.32,Credit Card,15/07/2022,Mall of Istanbul
I139437,C799447,38,Male,Cream,5,58.65,Credit Card,31/05/2021,Mall of Istanbul
I325491,C144628,45,Female,Butter,2,1200.34,Cash,22/12/2021,Kanyon
I332582,C260810,41,Female,Powdered whey,5,58.65,Cash,28/10/2022,Metropol AVM
I976566,C670524,57,Female,Condensed milk,1,40.66,Cash,13/06/2021,Forum Istanbul
I420592,C334281,57,Male,Sweetened condensed milk,4,20.92,Debit Card,25/09/2022,Kanyon
I312499,C314173,60,Female,Modified milk,1,15.15,Credit Card,18/08/2021,Mall of Istanbul
I304591,C122712,44,Female,Evaporated milk,2,10.46,Debit Card,16/09/2021,Kanyon
I122118,C276111,38,Male,chocolate milk,5,203.3,Cash,15/11/2022,Metrocity
I297539,C277924,65,Male,Pasteurized milk 3.0% mg,3,15.69,Credit Card,07/08/2021,Mall of Istanbul
I339496,C286466,30,Male,Pasteurized milk 2.5% mg,1,300.08,Debit Card,25/05/2021,Metropol AVM
I160687,C327001,50,Female,Skimmed pasteurized milk,2,600.16,Debit Card,12/07/2022,Istinye Park
I153842,C509924,19,Female,Sterilized whole milk,3,15.69,Credit Card,14/09/2022,Forum Istanbul
I615452,C453635,26,Male,Sterilized semi-skimmed milk,1,600.17,Debit Card,06/03/2022,Metrocity
I908600,C259539,54,Female,Sterilized skimmed milk,4,162.64,Credit Card,23/02/2023,Forum Istanbul
I708279,C729392,63,Female,Flavored sterilized milk,3,121.98,Credit Card,25/06/2021,Emaar Square Mall
I328691,C280085,66,Female,Powdered milk 28% mg,2,600.16,Debit Card,31/07/2022,Metrocity
I423782,C767634,48,Female,Powdered milk 26% mg,2,81.32,Debit Card,08/04/2021,Mall of Istanbul
I123315,C230018,46,Male,Powdered milk 18% mg,2,600.16,Debit Card,01/04/2021,Zorlu Center
I182578,C238063,54,Male,Powdered milk 20% mg,4,2400.68,Cash,13/02/2022,Kanyon
I403818,C308584,62,Male,Powdered milk 12% mg,5,75.75,Cash,15/06/2022,Viaport Outlet
I508712,C216619,64,Female,Skimmed powdered milk,3,107.52,Credit Card,19/07/2022,Mall of Istanbul
I959992,C241523,55,Male,Total powdered milk,3,15.69,Cash,01/07/2022,Metrocity
I279688,C209761,20,Female,Yogurt,1,300.08,Credit Card,19/06/2021,Cevahir AVM
I300847,C329153,41,Male,Cultured milk,5,179.2,Credit Card,11/01/2022,Istinye Park
I170966,C126702,54,Male,Small cheese,5,26.15,Credit Card,05/12/2022,Istinye Park
I230221,C287787,34,Male,Cheese,1,300.08,Cash,21/04/2021,Metropol AVM
I317354,C142943,31,Female,Cream,1,300.08,Cash,10/11/2021,Metropol AVM
I155404,C100484,48,Male,Butter,4,143.36,Cash,19/09/2022,Metrocity
I151181,C260213,44,Female,Powdered whey,2,600.16,Debit Card,18/01/2021,Emaar Square Mall
I144046,C210589,42,Female,Condensed milk,1,600.17,Credit Card,21/04/2022,Kanyon
I959386,C885556,25,Male,Sweetened condensed milk,1,600.17,Credit Card,25/11/2022,Mall of Istanbul
I737965,C944366,64,Male,Modified milk,5,1500.4,Cash,09/11/2022,Kanyon
I194017,C462011,67,Female,Evaporated milk,5,5250,Cash,03/01/2022,Kanyon
I252777,C262366,55,Female,chocolate milk,2,600.16,Cash,19/02/2022,Zorlu Center
I254142,C212400,62,Female,Pasteurized milk 3.0% mg,3,1800.51,Credit Card,15/12/2022,Emaar Square Mall
I120850,C204307,54,Female,Pasteurized milk 2.5% mg,2,600.16,Credit Card,08/11/2021,Metrocity
I220285,C162871,43,Female,Skimmed pasteurized milk,4,20.92,Credit Card,01/05/2022,Kanyon
I180980,C119825,30,Female,Sterilized whole milk,2,600.16,Cash,14/04/2021,Forum Istanbul
I301451,C260171,58,Female,Sterilized semi-skimmed milk,5,203.3,Debit Card,28/06/2021,Kanyon
I125700,C244973,49,Male,Sterilized skimmed milk,5,3000.85,Credit Card,10/06/2022,Forum Istanbul
I533062,C208765,49,Female,Flavored sterilized milk,3,900.24,Cash,12/05/2022,Mall of Istanbul
I998874,C321053,19,Female,Powdered milk 28% mg,5,1500.4,Debit Card,27/12/2022,Mall of Istanbul
I325619,C183356,58,Female,Powdered milk 26% mg,1,5.23,Debit Card,16/08/2021,Kanyon
I200646,C155763,49,Female,Powdered milk 18% mg,2,10.46,Credit Card,05/03/2021,Kanyon
I337094,C567509,50,Female,Powdered milk 20% mg,1,1050,Cash,09/02/2023,Zorlu Center
I436935,C486241,21,Female,Powdered milk 12% mg,4,162.64,Cash,26/02/2023,Istinye Park
I585560,C306892,21,Male,Skimmed powdered milk,2,1200.34,Cash,17/02/2023,Mall of Istanbul
I191967,C266819,63,Male,Total powdered milk,5,203.3,Credit Card,08/08/2022,Kanyon
I304567,C317897,30,Male,Yogurt,2,23.46,Credit Card,08/03/2023,Forum Istanbul
I232809,C545424,66,Male,Cultured milk,5,3000.85,Credit Card,02/10/2021,Metrocity
I157441,C224223,23,Female,Small cheese,4,20.92,Cash,22/12/2021,Mall of Istanbul
I591015,C286181,69,Female,Cheese,1,300.08,Cash,12/09/2021,Metrocity
I219334,C144371,45,Female,Cream,4,2400.68,Credit Card,23/03/2022,Kanyon
I162719,C402433,53,Male,Butter,5,1500.4,Credit Card,11/12/2021,Emaar Square Mall
I237375,C297425,50,Female,Powdered whey,1,15.15,Cash,29/12/2022,Istinye Park
I289611,C222906,45,Female,Condensed milk,3,900.24,Debit Card,08/03/2023,Cevahir AVM
I217650,C236397,47,Female,Sweetened condensed milk,3,15.69,Debit Card,10/02/2021,Forum Istanbul
I214129,C309079,36,Female,Modified milk,1,300.08,Debit Card,10/05/2021,Metrocity
I300799,C116633,61,Female,Evaporated milk,3,15.69,Cash,06/03/2022,Metropol AVM
I163771,C259606,46,Female,chocolate milk,4,143.36,Credit Card,29/03/2021,Mall of Istanbul
I252528,C333065,47,Male,Pasteurized milk 3.0% mg,5,5250,Debit Card,04/10/2022,Cevahir AVM
I147387,C211494,38,Female,Pasteurized milk 2.5% mg,5,1500.4,Cash,04/11/2021,Mall of Istanbul
I186255,C302831,41,Female,Skimmed pasteurized milk,1,300.08,Credit Card,08/11/2022,Kanyon
I308341,C282397,29,Male,Sterilized whole milk,4,1200.32,Cash,17/05/2021,Istinye Park
I177664,C233697,58,Female,Sterilized semi-skimmed milk,3,121.98,Credit Card,16/06/2022,Kanyon
I278519,C129976,69,Male,Sterilized skimmed milk,3,3150,Debit Card,24/09/2022,Cevahir AVM
I160636,C812053,53,Female,Flavored sterilized milk,4,162.64,Cash,04/04/2022,Metropol AVM
I306136,C324783,26,Male,Powdered milk 28% mg,1,5.23,Cash,18/10/2022,Metrocity
I240224,C281502,53,Male,Powdered milk 26% mg,1,5.23,Cash,16/10/2021,Mall of Istanbul
I227030,C433234,63,Female,Powdered milk 18% mg,4,1200.32,Credit Card,17/05/2021,Istinye Park
I258204,C167183,54,Female,Powdered milk 20% mg,1,300.08,Credit Card,03/02/2023,Emaar Square Mall
I231070,C311195,54,Female,Powdered milk 12% mg,5,1500.4,Debit Card,15/11/2022,Forum Istanbul
I434983,C107399,45,Male,Skimmed powdered milk,2,23.46,Credit Card,29/07/2021,Istinye Park
I326925,C992967,62,Female,Total powdered milk,4,143.36,Credit Card,17/07/2021,Kanyon
I183840,C246719,18,Female,Yogurt,1,300.08,Credit Card,08/03/2022,Viaport Outlet
I533184,C220859,44,Female,Cultured milk,5,3000.85,Credit Card,22/09/2022,Zorlu Center
I735039,C285422,50,Male,Small cheese,1,300.08,Cash,01/08/2022,Metropol AVM
I319997,C217049,31,Male,Cheese,5,1500.4,Credit Card,03/04/2021,Istinye Park
I228150,C141094,62,Male,Cream,5,1500.4,Cash,21/11/2021,Zorlu Center
I215373,C310628,20,Female,Butter,5,1500.4,Debit Card,17/09/2021,Kanyon
I275695,C297711,65,Female,Powdered whey,5,75.75,Cash,09/08/2022,Mall of Istanbul
I107255,C211354,63,Female,Condensed milk,1,11.73,Cash,08/09/2021,Metrocity
I301538,C281864,57,Female,Sweetened condensed milk,4,20.92,Cash,08/10/2021,Mall of Istanbul
I119469,C234177,59,Female,Modified milk,1,300.08,Debit Card,03/03/2021,Metropol AVM
I678313,C335822,44,Female,Evaporated milk,4,1200.32,Debit Card,26/12/2021,Zorlu Center
I264491,C107261,63,Female,chocolate milk,5,203.3,Credit Card,13/02/2023,Metropol AVM
I177957,C653357,65,Male,Pasteurized milk 3.0% mg,4,1200.32,Cash,04/07/2021,Cevahir AVM
I188384,C327084,68,Female,Pasteurized milk 2.5% mg,1,300.08,Cash,26/01/2021,Istinye Park
I527111,C218706,21,Female,Skimmed pasteurized milk,2,10.46,Debit Card,05/10/2022,Metropol AVM
I152252,C321931,33,Female,Sterilized whole milk,5,75.75,Credit Card,05/04/2021,Mall of Istanbul
I131076,C403983,23,Female,Sterilized semi-skimmed milk,2,23.46,Cash,27/03/2021,Metrocity
I151031,C137912,49,Female,Sterilized skimmed milk,5,58.65,Cash,21/11/2022,Mall of Istanbul
I638444,C229733,57,Male,Flavored sterilized milk,2,1200.34,Credit Card,21/02/2022,Metropol AVM
I884439,C304835,54,Female,Powdered milk 28% mg,4,143.36,Credit Card,22/08/2022,Kanyon
I381853,C124933,41,Female,Powdered milk 26% mg,3,121.98,Credit Card,06/12/2022,Emaar Square Mall
I104404,C111115,21,Female,Powdered milk 18% mg,3,1800.51,Cash,25/03/2021,Kanyon
I926542,C248988,45,Female,Powdered milk 20% mg,1,35.84,Debit Card,05/03/2021,Kanyon
I263473,C162574,58,Female,Powdered milk 12% mg,3,1800.51,Credit Card,02/08/2021,Kanyon
I177317,C331880,53,Male,Skimmed powdered milk,4,20.92,Cash,16/04/2021,Mall of Istanbul
I941223,C291911,53,Female,Total powdered milk,5,1500.4,Credit Card,03/02/2023,Emaar Square Mall
I323436,C153958,39,Male,Yogurt,5,26.15,Debit Card,06/05/2022,Kanyon
I245250,C125209,21,Female,Cultured milk,1,600.17,Cash,05/02/2022,Mall of Istanbul
I589196,C320640,51,Female,Small cheese,1,35.84,Credit Card,01/12/2022,Mall of Istanbul
I241028,C803666,50,Male,Cheese,2,600.16,Debit Card,16/12/2021,Emaar Square Mall
I846943,C134691,50,Female,Cream,4,162.64,Cash,06/01/2023,Mall of Istanbul
I131492,C729802,61,Male,Butter,3,15.69,Cash,08/12/2021,Kanyon
I252340,C252250,44,Male,Powdered whey,5,26.15,Credit Card,23/02/2021,Mall of Istanbul
I571614,C208545,31,Female,Condensed milk,4,46.92,Debit Card,07/01/2022,Istinye Park
I269945,C310975,64,Male,Sweetened condensed milk,1,5.23,Credit Card,14/02/2022,Kanyon
I293115,C109758,50,Male,Modified milk,2,600.16,Credit Card,20/05/2022,Viaport Outlet
I180632,C214463,45,Male,Evaporated milk,1,300.08,Credit Card,15/10/2021,Istinye Park
I946433,C387164,29,Female,chocolate milk,4,4200,Debit Card,02/02/2023,Kanyon
I557864,C135196,33,Female,Pasteurized milk 3.0% mg,1,300.08,Cash,09/11/2021,Mall of Istanbul
I721903,C284031,29,Male,Pasteurized milk 2.5% mg,2,10.46,Cash,09/01/2023,Mall of Istanbul
I995914,C259260,65,Male,Skimmed pasteurized milk,3,3150,Credit Card,22/11/2021,Metrocity
I423124,C109593,66,Female,Sterilized whole milk,1,300.08,Cash,07/01/2023,Metrocity
I318626,C270238,54,Male,Sterilized semi-skimmed milk,3,121.98,Credit Card,23/09/2022,Istinye Park
I284431,C308978,44,Male,Sterilized skimmed milk,4,4200,Credit Card,24/06/2022,Metropol AVM
I334469,C221607,46,Male,Flavored sterilized milk,5,179.2,Cash,04/07/2021,Kanyon
I568785,C115148,37,Male,Powdered milk 28% mg,5,26.15,Cash,23/08/2021,Metropol AVM
I307376,C253248,22,Female,Powdered milk 26% mg,5,26.15,Credit Card,11/08/2022,Metrocity
I136509,C290760,55,Female,Powdered milk 18% mg,4,162.64,Cash,02/08/2021,Mall of Istanbul
I194798,C258089,41,Male,Powdered milk 20% mg,2,2100,Cash,07/07/2022,Mall of Istanbul
I236520,C222102,42,Male,Powdered milk 12% mg,3,107.52,Credit Card,13/02/2022,Viaport Outlet
I295482,C209440,24,Male,Skimmed powdered milk,3,1800.51,Credit Card,17/10/2022,Zorlu Center
I472275,C203263,43,Female,Total powdered milk,4,162.64,Cash,14/11/2022,Metrocity
I301404,C232103,40,Male,Yogurt,3,900.24,Credit Card,24/03/2021,Cevahir AVM
I100487,C213360,22,Female,Cultured milk,4,162.64,Cash,19/02/2021,Kanyon
I206026,C225105,27,Female,Small cheese,1,15.15,Cash,12/11/2022,Forum Istanbul
I332620,C158124,68,Female,Cheese,2,81.32,Credit Card,13/04/2021,Mall of Istanbul
I434161,C246484,48,Female,Cream,2,600.16,Credit Card,03/05/2021,Metropol AVM
I166306,C197019,56,Female,Butter,3,900.24,Cash,24/04/2022,Viaport Outlet
I207389,C947114,25,Male,Powdered whey,3,900.24,Debit Card,17/12/2022,Kanyon
I237018,C115431,30,Male,Condensed milk,4,20.92,Cash,19/11/2022,Mall of Istanbul
I246114,C266394,49,Female,Sweetened condensed milk,5,179.2,Credit Card,22/09/2022,Metropol AVM
I216889,C122371,57,Male,Modified milk,2,600.16,Credit Card,16/03/2022,Mall of Istanbul
I137065,C736428,46,Female,Evaporated milk,4,20.92,Cash,01/01/2022,Mall of Istanbul
I284262,C127339,29,Male,chocolate milk,3,15.69,Cash,23/07/2021,Kanyon
I154122,C164662,69,Female,Pasteurized milk 3.0% mg,1,40.66,Debit Card,22/12/2021,Metrocity
I950429,C248884,42,Female,Pasteurized milk 2.5% mg,2,81.32,Debit Card,09/03/2022,Kanyon
I499170,C100684,38,Female,Skimmed pasteurized milk,1,35.84,Credit Card,20/02/2022,Kanyon
I253083,C240688,46,Female,Sterilized whole milk,2,600.16,Debit Card,14/11/2021,Metrocity
I508173,C246364,31,Male,Sterilized semi-skimmed milk,3,121.98,Debit Card,23/01/2022,Metropol AVM
I763131,C195413,26,Male,Sterilized skimmed milk,5,1500.4,Cash,16/01/2021,Mall of Istanbul
I149766,C197308,48,Female,Flavored sterilized milk,3,121.98,Cash,02/04/2022,Mall of Istanbul
I702817,C264767,30,Male,Powdered milk 28% mg,5,75.75,Credit Card,16/10/2022,Kanyon
I208491,C299172,56,Male,Powdered milk 26% mg,1,300.08,Cash,18/01/2023,Kanyon
I337030,C994327,65,Male,Powdered milk 18% mg,2,10.46,Cash,27/09/2022,Metrocity
I312041,C337644,53,Female,Powdered milk 20% mg,2,600.16,Credit Card,31/01/2022,Mall of Istanbul
I150629,C175449,43,Female,Powdered milk 12% mg,3,900.24,Cash,10/12/2022,Kanyon
I197620,C249092,26,Male,Skimmed powdered milk,2,10.46,Cash,08/04/2022,Metrocity
I730771,C432132,23,Male,Total powdered milk,5,1500.4,Debit Card,05/08/2022,Metrocity
I873382,C289802,54,Female,Yogurt,4,2400.68,Credit Card,07/01/2023,Metrocity
I637675,C194330,56,Male,Cultured milk,4,1200.32,Cash,28/06/2021,Kanyon
I153278,C127945,37,Female,Small cheese,2,71.68,Cash,04/06/2022,Mall of Istanbul
I842493,C202057,48,Male,Cheese,3,900.24,Debit Card,25/07/2021,Mall of Istanbul
I156991,C315209,56,Male,Cream,2,10.46,Debit Card,14/02/2021,Emaar Square Mall
I722730,C323605,58,Female,Butter,2,23.46,Cash,28/07/2022,Kanyon
I299533,C282395,40,Female,Powdered whey,3,15.69,Credit Card,09/09/2022,Kanyon
I187160,C109491,38,Female,Condensed milk,5,3000.85,Debit Card,19/03/2022,Kanyon
I101832,C261194,40,Female,Sweetened condensed milk,3,121.98,Credit Card,25/12/2022,Kanyon
I943403,C232330,64,Male,Modified milk,1,35.84,Cash,20/09/2022,Mall of Istanbul
I454983,C737782,28,Male,Evaporated milk,5,58.65,Debit Card,12/04/2022,Mall of Istanbul
I338302,C123201,49,Male,chocolate milk,4,162.64,Debit Card,03/10/2021,Viaport Outlet
I328822,C230641,51,Male,Pasteurized milk 3.0% mg,3,15.69,Cash,13/06/2022,Metrocity
I168181,C805154,22,Male,Pasteurized milk 2.5% mg,3,900.24,Credit Card,01/07/2021,Metrocity
I108543,C330021,67,Female,Skimmed pasteurized milk,5,1500.4,Debit Card,08/07/2022,Viaport Outlet
I120615,C107668,22,Female,Sterilized whole milk,2,71.68,Credit Card,02/02/2022,Istinye Park
I248840,C209722,26,Female,Sterilized semi-skimmed milk,3,900.24,Cash,10/11/2022,Mall of Istanbul
I283774,C210614,42,Female,Sterilized skimmed milk,1,35.84,Debit Card,01/01/2023,Istinye Park
I212305,C212378,45,Female,Flavored sterilized milk,1,15.15,Credit Card,06/11/2021,Emaar Square Mall
I111228,C313586,43,Female,Powdered milk 28% mg,1,300.08,Credit Card,09/04/2021,Kanyon
I230558,C292604,35,Female,Powdered milk 26% mg,2,81.32,Debit Card,31/07/2021,Kanyon
I130124,C216257,49,Male,Powdered milk 18% mg,3,900.24,Credit Card,15/08/2022,Viaport Outlet
I221797,C272779,49,Female,Powdered milk 20% mg,3,15.69,Cash,24/08/2021,Metrocity
I154490,C100507,33,Male,Powdered milk 12% mg,5,1500.4,Cash,24/01/2022,Mall of Istanbul
I159376,C190072,65,Female,Skimmed powdered milk,2,10.46,Cash,14/06/2022,Metropol AVM
I214545,C111827,40,Male,Total powdered milk,4,46.92,Cash,05/12/2021,Metropol AVM
I213589,C203955,68,Male,Yogurt,2,2100,Cash,12/10/2021,Viaport Outlet
I101148,C680169,26,Female,Cultured milk,4,162.64,Cash,21/04/2022,Cevahir AVM
I186663,C281091,38,Male,Small cheese,1,35.84,Debit Card,24/06/2021,Kanyon
I291062,C209122,56,Female,Cheese,4,162.64,Credit Card,05/03/2023,Kanyon
I103389,C231964,19,Male,Cream,1,40.66,Cash,09/05/2021,Kanyon
I140596,C291641,18,Female,Butter,2,81.32,Cash,11/09/2021,Metrocity
I115322,C315386,55,Male,Powdered whey,1,5.23,Credit Card,01/10/2021,Forum Istanbul
I273800,C290158,53,Female,Condensed milk,2,81.32,Cash,01/08/2021,Mall of Istanbul
I384332,C226218,69,Female,Sweetened condensed milk,1,40.66,Cash,04/09/2021,Metrocity
I268628,C633946,27,Male,Modified milk,3,121.98,Cash,21/05/2021,Mall of Istanbul
I146305,C118742,36,Female,Evaporated milk,2,10.46,Cash,11/07/2022,Kanyon
I648743,C218295,61,Female,chocolate milk,5,3000.85,Debit Card,02/01/2023,Mall of Istanbul
I148083,C636874,43,Female,Pasteurized milk 3.0% mg,5,203.3,Credit Card,29/06/2021,Istinye Park
I733806,C310472,51,Female,Pasteurized milk 2.5% mg,4,20.92,Credit Card,21/03/2021,Metropol AVM
I214007,C119440,38,Male,Skimmed pasteurized milk,4,143.36,Credit Card,25/03/2022,Metrocity
I480974,C230305,34,Male,Sterilized whole milk,2,10.46,Debit Card,10/05/2021,Mall of Istanbul
I126095,C197131,23,Male,Sterilized semi-skimmed milk,5,26.15,Credit Card,24/03/2022,Metropol AVM
I100033,C278721,56,Male,Sterilized skimmed milk,4,20.92,Credit Card,19/10/2021,Zorlu Center
I265860,C247868,60,Male,Flavored sterilized milk,4,20.92,Credit Card,15/03/2022,Mall of Istanbul
I512570,C834257,59,Female,Powdered milk 28% mg,4,46.92,Cash,24/11/2022,Metrocity
I118757,C242041,43,Male,Powdered milk 26% mg,1,300.08,Credit Card,21/07/2022,Kanyon
I313516,C892871,55,Male,Powdered milk 18% mg,4,60.6,Cash,29/03/2021,Metrocity
I223795,C280596,40,Male,Powdered milk 20% mg,3,900.24,Cash,26/12/2022,Metrocity
I254341,C703073,43,Female,Powdered milk 12% mg,2,10.46,Credit Card,21/01/2023,Metropol AVM
I273435,C282097,59,Male,Skimmed powdered milk,4,20.92,Credit Card,06/11/2021,Emaar Square Mall
